credit_score,annual_income,dti,emp_years,existing_loans,loan_amount,loan_term,age,loan_to_income,emi_ratio,default
753,120000.0,20.1,6.8,2,79232.0,48,34,0.6603,0.1651,0
743,120000.0,12.37,1.0,1,101539.0,36,52,0.8462,0.2821,0
566,151087.0,23.46,1.8,1,139867.0,48,31,0.9257,0.2314,0
619,120000.0,26.45,2.1,0,160335.0,12,38,1.3361,1.3361,1
683,120000.0,54.34,1.0,2,160575.0,48,39,1.3381,0.3345,1
747,120000.0,33.97,0.1,0,92180.0,24,37,0.7682,0.3841,0
602,120000.0,25.19,1.0,0,149665.0,60,44,1.2472,0.2494,0
631,185007.0,17.9,8.3,0,150822.0,48,47,0.8152,0.2038,0
539,120000.0,15.51,3.9,0,43385.0,12,50,0.3615,0.3615,0
530,120000.0,32.28,2.1,0,214369.0,12,34,1.7864,1.7864,1
731,154229.0,14.44,4.7,0,164526.0,12,43,1.0668,1.0668,0
785,120000.0,14.7,6.7,0,189810.0,12,46,1.5817,1.5817,1
642,120000.0,9.84,2.2,3,109328.0,24,36,0.9111,0.4555,0
750,258991.0,15.47,3.1,0,166096.0,36,30,0.6413,0.2138,0
686,120000.0,8.38,0.3,1,28709.0,60,39,0.2392,0.0478,0
585,120000.0,18.4,4.5,1,105760.0,36,31,0.8813,0.2938,0
686,120000.0,14.79,2.2,1,113662.0,36,30,0.9472,0.3157,0
803,120000.0,19.54,2.8,2,156366.0,36,40,1.303,0.4343,0
646,142303.0,18.03,2.7,2,158903.0,24,36,1.1166,0.5583,0
806,120000.0,26.64,5.0,3,349092.0,60,39,2.9091,0.5818,1
388,120000.0,19.19,4.2,1,66863.0,48,22,0.5572,0.1393,0
732,120000.0,23.54,2.7,2,289697.0,48,36,2.4141,0.6035,1
658,120000.0,23.64,0.1,1,808338.0,60,21,6.7362,1.3472,1
620,183927.0,21.54,4.9,1,110155.0,60,27,0.5989,0.1198,0
659,120652.0,22.64,10.6,2,292539.0,12,37,2.4247,2.4247,1
451,239628.0,15.73,7.3,2,512194.0,36,50,2.1375,0.7125,1
628,120000.0,38.27,20.0,1,501261.0,12,43,4.1772,4.1772,1
685,120000.0,22.0,0.7,1,128915.0,24,38,1.0743,0.5371,0
797,120000.0,4.54,1.3,1,386867.0,24,34,3.2239,1.6119,1
598,120000.0,9.14,3.9,1,323803.0,60,35,2.6984,0.5397,1
569,175216.0,21.85,1.3,0,427051.0,24,51,2.4373,1.2186,1
599,398238.0,16.33,0.2,1,282707.0,60,26,0.7099,0.142,0
741,120000.0,19.13,2.6,0,414946.0,48,30,3.4579,0.8645,1
682,133654.0,3.88,1.7,1,135782.0,36,48,1.0159,0.3386,0
597,120000.0,23.52,1.5,2,112750.0,24,34,0.9396,0.4698,0
701,120000.0,5.3,15.3,2,28452.0,12,57,0.2371,0.2371,0
659,120000.0,36.42,1.4,1,116059.0,24,44,0.9672,0.4836,0
746,120000.0,12.11,0.7,1,126997.0,36,49,1.0583,0.3528,0
579,120000.0,21.3,0.7,3,38454.0,24,21,0.3204,0.1602,0
617,274433.0,9.55,8.2,2,168683.0,60,48,0.6147,0.1229,0
610,120000.0,2.08,6.3,1,383859.0,24,29,3.1988,1.5994,1
503,120000.0,8.76,0.7,0,78420.0,48,45,0.6535,0.1634,0
679,168298.0,15.4,1.2,0,727924.0,48,34,4.3252,1.0813,1
676,120000.0,3.88,6.9,1,219002.0,24,40,1.825,0.9125,0
650,120000.0,46.31,1.6,2,319812.0,12,26,2.6651,2.6651,1
626,120000.0,18.18,20.0,0,156511.0,24,21,1.3043,0.6521,0
508,183004.0,11.01,3.9,2,79878.0,60,39,0.4365,0.0873,0
607,133387.0,30.52,1.1,1,251209.0,60,35,1.8833,0.3767,1
615,120000.0,15.3,9.8,1,298903.0,60,29,2.4909,0.4982,1
569,120000.0,25.88,1.9,1,141878.0,12,21,1.1823,1.1823,1
633,125510.0,7.82,1.7,0,199648.0,48,21,1.5907,0.3977,0
690,120000.0,31.3,2.0,0,161942.0,60,43,1.3495,0.2699,0
838,120000.0,9.3,7.3,2,96742.0,60,35,0.8062,0.1612,0
667,120000.0,17.77,1.0,2,211628.0,24,31,1.7636,0.8818,1
675,120000.0,17.54,2.4,2,92565.0,48,40,0.7714,0.1928,0
642,120000.0,34.67,0.2,0,299876.0,60,48,2.499,0.4998,1
458,120000.0,20.39,8.8,1,1040185.0,60,40,8.6682,1.7336,1
647,452992.0,21.63,2.1,0,392198.0,24,33,0.8658,0.4329,0
656,120000.0,29.08,1.4,0,140357.0,24,59,1.1696,0.5848,0
850,120000.0,8.29,4.3,3,215267.0,36,31,1.7939,0.598,0
630,120000.0,14.77,6.1,0,402995.0,24,23,3.3583,1.6791,1
680,134809.0,30.5,8.4,1,150659.0,24,38,1.1176,0.5588,0
646,269418.0,24.14,2.1,1,254417.0,36,35,0.9443,0.3148,0
533,120000.0,15.66,8.4,2,289053.0,60,47,2.4088,0.4818,1
764,120000.0,27.46,3.1,2,200721.0,24,32,1.6727,0.8363,1
725,161152.0,12.14,0.5,1,189493.0,12,36,1.1759,1.1759,0
729,120000.0,12.27,9.4,0,377365.0,36,29,3.1447,1.0482,1
559,120000.0,10.48,4.0,0,650964.0,36,46,5.4247,1.8082,1
790,120000.0,22.94,4.6,3,151560.0,60,39,1.263,0.2526,0
509,120000.0,11.7,13.9,0,439011.0,24,35,3.6584,1.8292,1
708,149268.0,35.51,4.1,3,49522.0,12,36,0.3318,0.3318,0
850,120000.0,53.53,0.0,2,239756.0,60,37,1.998,0.3996,1
550,120000.0,10.03,10.2,2,28423.0,24,23,0.2369,0.1184,0
593,120000.0,15.83,1.7,2,87650.0,60,49,0.7304,0.1461,0
659,120000.0,26.79,3.5,0,71066.0,36,49,0.5922,0.1974,0
599,120000.0,22.93,1.1,1,603129.0,36,38,5.0261,1.6754,1
494,128233.0,14.1,1.8,2,129816.0,24,37,1.0123,0.5062,1
656,163784.0,22.91,5.8,1,156557.0,60,28,0.9559,0.1912,0
543,124939.0,25.89,2.8,1,136460.0,24,55,1.0922,0.5461,1
697,129593.0,26.84,4.9,0,51176.0,48,52,0.3949,0.0987,0
558,120000.0,37.5,8.7,5,204741.0,24,41,1.7062,0.8531,1
804,120000.0,27.87,2.1,0,172992.0,48,46,1.4416,0.3604,0
571,131624.0,15.38,4.2,1,84989.0,36,50,0.6457,0.2152,0
617,152873.0,10.22,7.5,0,490812.0,12,48,3.2106,3.2106,1
731,120000.0,15.39,6.3,0,478699.0,36,29,3.9892,1.3297,1
526,120000.0,21.92,3.9,0,59508.0,12,34,0.4959,0.4959,0
672,120000.0,5.1,2.4,1,93957.0,60,42,0.783,0.1566,0
780,136196.0,17.42,2.6,2,237013.0,12,40,1.7402,1.7402,1
489,183566.0,42.99,2.8,2,112197.0,60,45,0.6112,0.1222,1
668,120000.0,55.18,2.1,0,136750.0,48,44,1.1396,0.2849,1
675,170208.0,21.62,6.0,2,72107.0,60,40,0.4236,0.0847,0
728,120000.0,5.26,0.7,2,72681.0,24,21,0.6057,0.3028,0
526,120000.0,24.75,17.1,2,107361.0,24,49,0.8947,0.4473,0
517,120000.0,4.72,7.5,2,180724.0,24,46,1.506,0.753,1
702,154503.0,14.02,1.8,0,190689.0,36,58,1.2342,0.4114,0
679,120012.0,22.25,0.2,1,84676.0,24,33,0.7056,0.3528,0
675,386735.0,26.17,6.2,0,64922.0,60,21,0.1679,0.0336,0
684,120000.0,37.57,6.6,2,60257.0,60,36,0.5021,0.1004,0
581,134707.0,4.95,16.6,3,359011.0,60,42,2.6651,0.533,1
673,120000.0,18.38,1.5,2,891047.0,24,33,7.4254,3.7127,1
679,120000.0,12.76,0.4,1,229612.0,48,51,1.9134,0.4784,1
578,120000.0,27.14,12.3,0,20877.0,48,31,0.174,0.0435,0
836,120000.0,7.64,1.5,0,256428.0,36,36,2.1369,0.7123,0
697,568584.0,6.17,6.4,2,420171.0,60,35,0.739,0.1478,0
530,120000.0,19.56,0.3,1,96820.0,60,65,0.8068,0.1614,0
715,120000.0,3.02,7.1,3,328993.0,36,28,2.7416,0.9139,1
552,120000.0,31.92,0.7,1,383538.0,60,43,3.1961,0.6392,1
728,120000.0,24.89,5.9,0,456474.0,12,25,3.8039,3.8039,1
765,120000.0,17.78,3.8,1,101852.0,36,41,0.8488,0.2829,0
567,120000.0,13.23,15.6,0,172833.0,60,28,1.4403,0.2881,0
746,159016.0,18.78,0.2,1,188248.0,36,48,1.1838,0.3946,0
691,177048.0,18.15,1.7,1,467340.0,12,47,2.6396,2.6396,1
732,120000.0,36.72,0.4,1,117281.0,12,40,0.9773,0.9773,1
839,120000.0,37.09,10.6,3,345757.0,24,24,2.8813,1.4407,1
625,120000.0,36.22,4.5,1,202413.0,60,37,1.6868,0.3374,1
574,120000.0,38.82,3.8,3,350804.0,12,34,2.9234,2.9234,1
561,120000.0,24.34,0.7,1,298508.0,12,46,2.4876,2.4876,1
568,120000.0,12.0,3.4,0,96327.0,12,28,0.8027,0.8027,0
642,120000.0,33.5,2.5,1,201845.0,24,49,1.682,0.841,1
684,120000.0,38.29,1.9,0,93678.0,60,47,0.7806,0.1561,0
677,137284.0,30.48,7.4,1,159766.0,36,24,1.1638,0.3879,0
732,290936.0,30.96,0.3,0,658992.0,24,35,2.2651,1.1325,1
651,120000.0,13.89,5.2,2,115970.0,60,37,0.9664,0.1933,0
795,120000.0,31.51,8.7,0,99827.0,12,48,0.8319,0.8319,0
623,120000.0,9.8,11.9,4,140390.0,24,31,1.1699,0.585,0
850,120000.0,35.87,6.9,1,279356.0,48,40,2.328,0.582,1
712,120000.0,14.86,1.7,0,277683.0,48,48,2.314,0.5785,1
564,120000.0,5.92,4.6,1,217114.0,12,40,1.8093,1.8093,1
542,120000.0,41.18,0.8,0,86027.0,60,21,0.7169,0.1434,0
698,123070.0,31.29,0.6,2,133424.0,60,33,1.0841,0.2168,0
627,184289.0,25.73,5.1,4,501864.0,24,47,2.7232,1.3616,1
721,120000.0,23.43,9.5,3,48350.0,48,45,0.4029,0.1007,0
697,120000.0,14.57,0.3,2,200167.0,60,21,1.6681,0.3336,0
642,120000.0,28.78,0.6,0,136585.0,24,40,1.1382,0.5691,0
565,120000.0,9.93,4.2,1,236726.0,24,47,1.9727,0.9864,1
498,278926.0,7.13,1.2,1,181338.0,48,43,0.6501,0.1625,0
605,120000.0,35.53,4.7,3,48972.0,12,44,0.4081,0.4081,0
735,120000.0,30.52,1.2,1,260616.0,24,58,2.1718,1.0859,1
671,137808.0,35.07,0.6,1,74573.0,12,37,0.5411,0.5411,0
525,120000.0,43.79,3.9,1,63258.0,48,41,0.5271,0.1318,1
667,120000.0,9.01,9.9,1,169492.0,24,28,1.4124,0.7062,0
688,120000.0,25.46,5.8,0,117139.0,36,31,0.9762,0.3254,0
561,183077.0,17.71,8.5,3,85943.0,48,34,0.4694,0.1174,0
665,120000.0,27.67,1.5,2,119265.0,48,46,0.9939,0.2485,0
655,120000.0,14.73,10.9,3,90524.0,36,30,0.7544,0.2515,0
535,172026.0,33.42,2.4,2,560960.0,48,50,3.2609,0.8152,1
685,120000.0,31.09,9.6,4,209199.0,36,27,1.7433,0.5811,1
706,120000.0,24.64,3.2,2,143387.0,36,44,1.1949,0.3983,0
758,120000.0,2.87,1.6,2,298644.0,48,43,2.4887,0.6222,1
755,156757.0,16.2,1.5,2,139942.0,36,40,0.8927,0.2976,0
512,412103.0,42.91,4.2,2,132219.0,36,47,0.3208,0.1069,0
556,162160.0,27.7,0.4,0,343396.0,48,30,2.1176,0.5294,1
701,197977.0,36.47,13.3,1,93412.0,36,33,0.4718,0.1573,0
701,120000.0,3.42,1.6,1,71817.0,12,28,0.5985,0.5985,0
701,120000.0,3.12,2.0,3,275059.0,48,38,2.2922,0.573,1
850,120000.0,17.65,1.3,2,185545.0,48,36,1.5462,0.3866,0
707,120000.0,25.2,0.0,0,184168.0,12,46,1.5347,1.5347,1
763,120000.0,27.76,5.9,0,122961.0,60,41,1.0247,0.2049,0
745,120000.0,15.24,4.5,0,262124.0,24,44,2.1844,1.0922,1
715,125441.0,19.06,8.3,1,54383.0,36,36,0.4335,0.1445,0
618,122545.0,5.58,0.2,0,34556.0,36,42,0.282,0.094,0
725,133596.0,22.06,13.2,1,118462.0,24,56,0.8867,0.4434,0
572,120000.0,8.2,2.0,0,269312.0,36,24,2.2443,0.7481,1
626,120000.0,30.34,12.2,2,440506.0,36,21,3.6709,1.2236,1
601,120000.0,18.86,0.6,1,252299.0,12,44,2.1025,2.1025,1
658,120000.0,29.77,6.8,2,77803.0,12,29,0.6484,0.6484,0
850,288043.0,12.62,4.3,3,78301.0,12,24,0.2718,0.2718,0
463,120000.0,21.21,2.2,1,428642.0,12,43,3.572,3.572,1
718,120000.0,12.7,0.4,3,335833.0,48,27,2.7986,0.6997,1
488,120000.0,10.42,4.6,0,252654.0,36,53,2.1054,0.7018,1
602,574580.0,15.62,0.1,1,339916.0,24,39,0.5916,0.2958,0
758,120000.0,10.51,3.5,1,186278.0,36,35,1.5523,0.5174,0
656,120000.0,31.72,4.6,0,137786.0,48,29,1.1482,0.2871,0
542,126690.0,19.02,6.6,1,143199.0,48,40,1.1303,0.2826,0
578,141510.0,15.48,23.7,0,271009.0,36,22,1.9151,0.6384,1
717,175389.0,20.33,1.5,1,196753.0,36,21,1.1218,0.3739,0
576,292016.0,14.43,1.9,1,33780.0,12,22,0.1157,0.1157,0
671,133746.0,17.24,2.1,0,329740.0,48,49,2.4654,0.6164,1
654,120000.0,27.73,6.6,1,260066.0,36,28,2.1672,0.7224,1
584,120000.0,18.0,13.4,2,211230.0,24,23,1.7603,0.8801,1
850,120000.0,17.05,18.3,1,502499.0,24,37,4.1875,2.0937,1
713,341443.0,32.67,14.6,0,85301.0,12,60,0.2498,0.2498,0
447,120000.0,7.48,10.6,1,69363.0,12,48,0.578,0.578,0
668,203119.0,13.1,23.5,1,242986.0,36,29,1.1963,0.3988,0
583,120000.0,15.32,2.4,3,88839.0,24,29,0.7403,0.3702,0
735,163195.0,39.96,14.8,2,617360.0,48,30,3.783,0.9457,1
570,120000.0,20.18,7.2,2,93474.0,60,28,0.7789,0.1558,0
638,120000.0,16.39,0.9,0,91595.0,24,43,0.7633,0.3816,0
700,154898.0,5.64,0.2,0,117916.0,48,34,0.7612,0.1903,0
736,146189.0,11.99,1.2,1,128311.0,24,26,0.8777,0.4389,0
529,176881.0,27.55,7.5,1,121188.0,36,24,0.6851,0.2284,0
616,120000.0,9.88,5.0,0,131860.0,60,61,1.0988,0.2198,0
602,120000.0,23.7,1.3,2,121803.0,60,45,1.015,0.203,0
584,120000.0,37.58,6.8,3,46880.0,36,29,0.3907,0.1302,0
826,161397.0,16.79,0.8,2,243704.0,36,50,1.51,0.5033,0
690,127304.0,13.45,8.6,1,114853.0,12,26,0.9022,0.9022,0
523,120000.0,5.27,7.9,0,144004.0,48,36,1.2,0.3,0
741,120000.0,20.62,18.0,0,61619.0,48,35,0.5135,0.1284,0
850,120000.0,24.57,0.8,1,48069.0,12,39,0.4006,0.4006,0
753,120000.0,7.37,11.9,2,150962.0,48,28,1.258,0.3145,0
498,120000.0,3.24,2.1,0,564556.0,60,39,4.7046,0.9409,1
601,120000.0,20.85,2.7,1,549351.0,24,21,4.5779,2.289,1
776,120000.0,15.56,3.2,1,78676.0,60,34,0.6556,0.1311,0
579,120000.0,35.52,4.9,0,90036.0,12,51,0.7503,0.7503,1
694,120000.0,6.37,26.3,0,186493.0,48,48,1.5541,0.3885,0
727,332220.0,36.77,4.6,0,19287.0,48,31,0.0581,0.0145,0
557,209300.0,20.81,13.1,0,101838.0,24,22,0.4866,0.2433,0
644,120000.0,18.87,1.5,0,194480.0,24,21,1.6207,0.8103,1
325,120000.0,32.7,2.5,3,135419.0,24,44,1.1285,0.5642,1
547,126814.0,35.05,3.5,1,35617.0,60,40,0.2809,0.0562,0
624,201723.0,14.91,1.9,0,37685.0,12,41,0.1868,0.1868,0
525,120000.0,25.45,18.8,2,51798.0,12,54,0.4317,0.4317,0
813,190092.0,17.58,6.5,1,152974.0,12,39,0.8047,0.8047,0
506,120000.0,7.48,3.3,1,83387.0,60,40,0.6949,0.139,0
605,120000.0,23.4,7.0,1,565653.0,36,24,4.7138,1.5713,1
663,152433.0,16.55,3.2,0,55871.0,48,54,0.3665,0.0916,0
794,214155.0,11.19,0.1,2,434685.0,60,36,2.0298,0.406,0
506,466375.0,11.75,3.9,1,62168.0,12,29,0.1333,0.1333,0
766,120000.0,27.02,4.9,0,1218027.0,60,40,10.1502,2.03,1
651,150144.0,19.77,19.9,1,276444.0,60,58,1.8412,0.3682,0
551,120000.0,14.67,0.2,2,27621.0,36,59,0.2302,0.0767,0
696,157947.0,15.12,3.6,0,430864.0,24,28,2.7279,1.3639,1
669,120000.0,6.31,0.5,1,112457.0,12,49,0.9371,0.9371,0
589,120000.0,31.7,0.8,2,341920.0,60,41,2.8493,0.5699,1
656,120000.0,18.33,4.7,2,161334.0,24,47,1.3444,0.6722,0
611,120000.0,22.43,1.3,1,122505.0,48,40,1.0209,0.2552,0
661,120000.0,21.7,6.9,1,132850.0,48,44,1.1071,0.2768,0
716,146596.0,39.13,3.6,0,63763.0,48,51,0.435,0.1087,0
808,182798.0,20.39,1.2,0,114393.0,60,21,0.6258,0.1252,0
526,141456.0,11.8,3.4,0,57883.0,60,41,0.4092,0.0818,0
850,260738.0,20.66,0.0,2,111564.0,36,26,0.4279,0.1426,0
454,126690.0,2.89,9.9,0,190242.0,12,33,1.5016,1.5016,1
634,120000.0,14.92,0.1,1,379341.0,24,38,3.1612,1.5806,1
708,223692.0,25.77,0.0,2,534583.0,48,27,2.3898,0.5975,1
678,120000.0,11.1,4.7,2,161141.0,24,32,1.3428,0.6714,0
587,170459.0,38.71,18.2,1,66123.0,36,23,0.3879,0.1293,0
629,253784.0,8.02,9.7,1,156160.0,48,32,0.6153,0.1538,0
600,129834.0,27.44,1.5,1,142992.0,24,43,1.1013,0.5507,1
591,120000.0,13.92,1.1,1,467043.0,12,46,3.892,3.892,1
734,120000.0,43.78,4.9,5,327864.0,12,30,2.7322,2.7322,1
685,218305.0,20.62,8.6,0,196048.0,36,51,0.898,0.2993,0
580,120000.0,9.03,2.2,0,549390.0,24,43,4.5782,2.2891,1
739,120000.0,32.17,2.8,2,108560.0,36,52,0.9047,0.3016,0
680,155639.0,23.95,0.6,0,268741.0,36,21,1.7267,0.5756,1
731,149910.0,30.11,0.8,2,108672.0,36,41,0.7249,0.2416,0
712,120000.0,30.6,4.2,5,111610.0,60,44,0.9301,0.186,0
567,120000.0,12.95,0.5,2,31116.0,12,21,0.2593,0.2593,0
593,120000.0,47.64,1.1,0,176437.0,60,62,1.4703,0.2941,1
724,165171.0,35.68,1.3,1,180472.0,60,31,1.0926,0.2185,0
711,137605.0,31.0,2.9,0,145860.0,12,43,1.06,1.06,1
647,120000.0,18.07,0.2,1,234041.0,36,47,1.9503,0.6501,1
661,188956.0,6.89,3.5,0,362083.0,24,39,1.9162,0.9581,1
777,120000.0,3.57,13.2,0,160483.0,36,51,1.3374,0.4458,0
590,120000.0,6.27,0.1,1,263749.0,36,57,2.1979,0.7326,1
704,120000.0,12.37,5.0,2,219458.0,60,26,1.8288,0.3658,0
629,120000.0,15.3,9.0,5,385040.0,24,39,3.2087,1.6043,1
628,120000.0,13.38,1.9,0,249326.0,12,47,2.0777,2.0777,1
759,206950.0,33.96,0.7,0,699447.0,48,21,3.3798,0.8449,1
732,120000.0,26.12,0.2,2,201182.0,12,48,1.6765,1.6765,1
731,120000.0,39.15,5.2,3,76891.0,24,55,0.6408,0.3204,0
780,120000.0,12.49,4.0,1,446607.0,12,50,3.7217,3.7217,1
652,120000.0,25.32,1.3,3,271889.0,60,42,2.2657,0.4531,1
718,120000.0,39.43,8.9,0,238050.0,24,53,1.9838,0.9919,1
618,120000.0,39.04,6.6,0,47367.0,48,41,0.3947,0.0987,0
682,120000.0,1.39,1.6,0,535555.0,48,24,4.463,1.1157,1
636,136513.0,10.61,7.0,2,362674.0,24,32,2.6567,1.3284,1
659,120000.0,4.02,1.4,1,209238.0,12,35,1.7437,1.7437,1
709,120000.0,21.16,5.6,0,16688.0,48,37,0.1391,0.0348,0
568,189192.0,26.23,0.6,2,124168.0,24,37,0.6563,0.3282,0
850,120000.0,13.72,5.9,1,751708.0,24,34,6.2642,3.1321,1
549,120000.0,31.35,1.4,0,238377.0,24,40,1.9865,0.9932,1
528,120000.0,15.85,4.2,1,61822.0,36,53,0.5152,0.1717,0
765,120000.0,10.1,0.9,4,104213.0,12,40,0.8684,0.8684,0
729,120000.0,18.94,6.5,2,118322.0,24,44,0.986,0.493,0
712,131315.0,4.55,0.3,4,401667.0,24,21,3.0588,1.5294,1
712,120000.0,26.43,0.9,0,48671.0,36,39,0.4056,0.1352,0
648,120000.0,41.27,1.0,2,379148.0,60,48,3.1596,0.6319,1
560,120000.0,33.22,0.2,0,306128.0,36,50,2.5511,0.8504,1
657,120000.0,27.86,6.8,3,978537.0,24,49,8.1545,4.0772,1
582,201993.0,29.7,19.8,1,249277.0,12,41,1.2341,1.2341,1
747,120000.0,17.02,7.5,1,60391.0,36,42,0.5033,0.1678,0
635,120000.0,28.31,9.9,2,156619.0,24,31,1.3052,0.6526,1
567,120000.0,13.16,0.0,0,73632.0,12,46,0.6136,0.6136,0
617,120000.0,15.67,0.6,0,222153.0,36,31,1.8513,0.6171,1
691,120000.0,26.14,4.1,4,656267.0,48,44,5.4689,1.3672,1
593,156762.0,16.37,19.1,2,81925.0,12,38,0.5226,0.5226,0
567,120000.0,19.32,5.4,1,342919.0,24,38,2.8577,1.4288,1
674,127604.0,13.62,2.3,2,99181.0,12,48,0.7773,0.7773,0
674,120000.0,32.8,0.8,0,47069.0,12,43,0.3922,0.3922,0
599,120000.0,21.36,0.8,1,584751.0,24,40,4.8729,2.4365,1
602,120000.0,33.67,2.3,1,196057.0,48,33,1.6338,0.4085,1
673,269660.0,7.76,6.3,0,241144.0,12,54,0.8943,0.8943,0
505,120000.0,12.26,0.2,0,324281.0,24,41,2.7023,1.3512,1
509,120000.0,20.65,9.6,0,41748.0,12,45,0.3479,0.3479,0
578,120000.0,28.83,14.2,1,131591.0,60,38,1.0966,0.2193,0
628,120000.0,16.55,11.0,0,43733.0,48,31,0.3644,0.0911,0
681,142666.0,41.79,12.2,0,107078.0,60,41,0.7505,0.1501,0
797,123658.0,8.44,0.1,0,408163.0,12,32,3.3007,3.3007,1
735,120000.0,20.74,19.0,2,233193.0,48,42,1.9433,0.4858,0
634,198264.0,37.74,2.3,1,99342.0,24,21,0.5011,0.2505,0
648,120000.0,42.71,10.2,1,166005.0,60,33,1.3834,0.2767,1
549,168880.0,15.98,1.0,1,144878.0,48,37,0.8579,0.2145,0
648,120000.0,5.32,3.0,0,208716.0,48,28,1.7393,0.4348,0
621,120000.0,19.09,0.2,0,98687.0,12,41,0.8224,0.8224,0
682,120000.0,6.78,0.2,1,147555.0,60,33,1.2296,0.2459,0
567,120000.0,18.04,14.3,2,183692.0,24,37,1.5308,0.7654,1
701,120000.0,20.51,8.3,1,228807.0,36,32,1.9067,0.6356,1
803,120000.0,11.25,3.8,0,193988.0,12,47,1.6166,1.6166,1
639,120000.0,23.97,3.7,0,43894.0,48,43,0.3658,0.0914,0
690,120000.0,25.03,6.9,1,59399.0,60,40,0.495,0.099,0
719,120000.0,22.91,2.1,1,268120.0,36,38,2.2343,0.7448,1
609,120000.0,25.11,7.2,2,132797.0,48,63,1.1066,0.2767,0
672,223672.0,18.12,3.3,0,114054.0,60,36,0.5099,0.102,0
